roommates,starting_budget_per_person,active_stock_bucket,decisions,mean_active_socks_per_person,greedy_focal_embarrassment_per_day,selected_focal_embarrassment_per_day,greedy_other_average_per_day,selected_other_average_per_day,margin_gain_per_day,focal_delta_per_day,other_delta_per_day,main_below_other_pct,selected_discards_pct,selected_closest_pair_pct,heldout_self_safe_pct,heldout_self_safe_and_others_worse_pct
2,$0,10+ socks/person,217,14.976958525345623,2.465766951942067,2.5569453587886763,2.221856484529296,2.307768268597762,-0.005266622778143512,0.09117840684660962,0.0859117840684661,37.327188940092164,60.36866359447004,93.08755760368663,67.74193548387096,17.51152073732719
2,$0,2-<4 socks/person,5,3.0,13126.385714285712,17808.72857142857,6581.928571428571,13127.814285714285,1863.5428571428572,4682.342857142858,6545.885714285714,40.0,20.0,80.0,80.0,0.0
2,$0,4-<6 socks/person,7,4.785714285714286,2021.8367346938776,2021.204081632653,1352.8367346938776,2022.5204081632653,670.3163265306123,-0.6326530612245269,669.6836734693877,42.857142857142854,71.42857142857143,71.42857142857143,71.42857142857143,28.571428571428573
2,$0,6-<10 socks/person,23,7.869565217391305,7.7981366459627335,8.751552795031058,8.26086956521739,7.531055900621118,-1.683229813664596,0.9534161490683231,-0.7298136645962733,47.82608695652174,73.91304347826087,78.26086956521739,52.17391304347826,13.043478260869565
2,$0,<2 socks/person,3,1.0,29705.023809523806,29705.023809523806,39056.78571428572,39056.78571428572,0.0,0.0,0.0,66.66666666666667,0.0,100.0,100.0,0.0
2,$100,10+ socks/person,150,15.303333333333333,1.826190476190477,1.8200000000000003,1.7371428571428578,1.647142857142858,-0.08380952380952385,-0.006190476190476168,-0.09000000000000008,36.0,60.666666666666664,96.0,77.33333333333333,12.0
2,$100,2-<4 socks/person,7,2.642857142857143,20096.84693877551,21450.408163265307,22084.64285714286,20087.61224489796,-3350.5918367346935,1353.561224489796,-1997.0306122448983,28.571428571428573,42.857142857142854,28.571428571428573,42.857142857142854,14.285714285714286
2,$100,4-<6 socks/person,11,5.2727272727272725,7.987012987012986,8.48051948051948,9.318181818181818,8.64935064935065,-1.1623376623376622,0.4935064935064935,-0.6688311688311688,18.181818181818183,54.54545454545455,90.9090909090909,81.81818181818181,0.0
2,$100,6-<10 socks/person,86,7.906976744186046,2.656976744186047,2.8612956810631234,3.014119601328903,2.812292358803987,-0.4061461794019934,0.20431893687707642,-0.2018272425249169,32.55813953488372,56.97674418604651,96.51162790697674,73.25581395348837,11.627906976744185
2,$100,<2 socks/person,2,1.25,21094.785714285714,21094.785714285714,44499.42857142857,44499.42857142857,0.0,0.0,0.0,50.0,0.0,100.0,100.0,0.0
2,$25,10+ socks/person,136,16.698529411764707,1.9485294117647058,2.0467436974789925,2.1181722689075637,1.8513655462184875,-0.36502100840336144,0.09821428571428575,-0.26680672268907557,36.76470588235294,61.029411764705884,88.97058823529412,69.8529411764706,13.970588235294118
2,$25,2-<4 socks/person,5,3.0,17803.171428571426,22491.67142857143,18739.15714285714,21549.5,-1878.1571428571428,4688.500000000001,2810.3428571428567,60.0,40.0,40.0,60.0,20.0
2,$25,4-<6 socks/person,8,4.5625,9.035714285714286,1184.625,593.4464285714286,1766.0178571428569,-3.017857142857143,1175.5892857142858,1172.5714285714284,25.0,62.5,87.5,75.0,25.0
2,$25,6-<10 socks/person,96,8.661458333333334,4.026041666666665,4.002232142857143,3.8660714285714293,3.7968750000000004,-0.04538690476190472,-0.023809523809523756,-0.06919642857142852,44.791666666666664,63.541666666666664,90.625,69.79166666666667,16.666666666666668
2,$25,<2 socks/person,5,1.2,32796.671428571426,34677.3,40279.05714285714,38416.02857142857,-3743.6571428571433,1880.6285714285714,-1863.0285714285715,40.0,20.0,80.0,80.0,0.0
2,$300,10+ socks/person,136,15.477941176470589,0.811974789915966,0.7589285714285711,0.5105042016806722,0.5530462184873949,0.09558823529411767,-0.053046218487394964,0.04254201680672269,21.323529411764707,53.6764705882353,96.32352941176471,83.08823529411765,11.764705882352942
2,$300,4-<6 socks/person,8,5.25,0.2857142857142857,0.19642857142857142,0.2589285714285714,0.13392857142857142,-0.035714285714285726,-0.08928571428571427,-0.125,12.5,62.5,100.0,75.0,12.5
2,$300,6-<10 socks/person,126,8.079365079365079,1.6235827664399094,1.5510204081632646,1.3276643990929706,1.020408163265306,-0.2346938775510204,-0.072562358276644,-0.30725623582766437,15.079365079365079,50.79365079365079,92.06349206349206,80.15873015873017,7.142857142857143
2,unlimited,10+ socks/person,136,15.051470588235293,0.14023109243697474,0.12762605042016806,0.10241596638655459,0.06039915966386554,-0.02941176470588235,-0.012605042016806728,-0.04201680672268907,6.617647058823529,50.0,99.26470588235294,88.23529411764706,3.676470588235294
